基因	关系	基因
FOSL1	起调控作用	PNP
ICAM1	起调控作用	CDC20
TGFB1	起调控作用	HSD17B10
PRKCA	起调控作用	CSRP1
CCNA2	起调控作用	PSMB8
TNFSF10	起调控作用	SELL
HMGB1	起调控作用	GLI2
TGFBR2	起调控作用	PCNA
C1QA	起调控作用	SLC1A4
VDAC1	起调控作用	ERBB3
LMNA	起调控作用	VEGFA
DNPEP	起调控作用	SIRT1
SRC	起调控作用	RFC2
FASLG	起调控作用	SDHB
PRKACA	起调控作用	PSMB8
TNFRSF10A	起调控作用	PTGS2
GYG1	起调控作用	NME1
CTSD	起调控作用	NDUFA9
CBS	起调控作用	NRCAM
IGF1R	起调控作用	KEAP1
BMP4	起调控作用	BIRC5
PSAP	起调控作用	VDAC1
APOE	起调控作用	MMACHC
ALAD	起调控作用	NME1
DNMT1	起调控作用	MUC5AC
AHR	起调控作用	TPI1
WT1	起调控作用	CCL2
SLC25A12	起调控作用	CFLAR
SAT1	起调控作用	GNAI1
TIRAP	起调控作用	CXCL8
CA2	起调控作用	PCNA
PARP1	起调控作用	ASS1
PIK3C2A	起调控作用	CASK
SDHA	起调控作用	SLC19A2
ITPR1	起调控作用	HSPB1
GPI	起调控作用	CCL2
PRKAR1A	起调控作用	ADRB2
BRCA1	起调控作用	LPL
MAPK9	起调控作用	APP
TIMP1	起调控作用	CASK
TGFBR2	起调控作用	FN1
PRKACA	起调控作用	VDAC1
JAK1	起调控作用	GNAS
FASN	起调控作用	MIF
MAPK13	起调控作用	LGALS1
FOLR1	起调控作用	HSPB1
ABCB1	起调控作用	PLSCR1
CXCL12	起调控作用	SERPINA3
SLC25A12	起调控作用	BID
ESR2	起调控作用	CES1
SPTLC1	起调控作用	MIF
NPY1R	起调控作用	HDAC6
PAX8	起调控作用	GSK3B
HLA-DRA	起调控作用	GALE
APOH	起调控作用	CDK4
NRXN3	起调控作用	CSRP1
RAF1	起调控作用	ADRB2
FXYD2	起调控作用	PCBD1
DAXX	起调控作用	SPR
NAT1	起调控作用	GALE
TIRAP	起调控作用	IL6
ATP2C1	起调控作用	RFXANK
PCSK9	起调控作用	PCNA
HSPD1	起调控作用	CYCS
TPI1	起调控作用	TYMS
PSAP	起调控作用	NME1
RAC1	起调控作用	HP
TNFRSF10A	起调控作用	HIF1A
TSC22D3	起调控作用	CES1
KRT19	起调控作用	GLI2
COMT	起调控作用	SLC25A4
IGF2	起调控作用	ABL1
TUBB2A	起调控作用	MYC
SYK	起调控作用	CSRP1
ESR2	起调控作用	MIF
BRAF	起调控作用	CDK7
STAT1	起调控作用	GHR
STAT1	起调控作用	NME1
NME1	起调控作用	DLD
IFNGR1	起调控作用	ADM
UGT1A1	起调控作用	SLC7A5
RARA	起调控作用	TGM2
COMT	起调控作用	TPI1
OTUD7A	起调控作用	BAG3
TOP1	起调控作用	TUBA4A
GLI3	起调控作用	COG2
SERPINA7	起调控作用	CYCS
AURKA	起调控作用	TF
TUBB2A	起调控作用	LGALS1
CCND1	起调控作用	YBX3
ADCY5	起调控作用	DAXX
KEAP1	起调控作用	PROS1
DNMT1	起调控作用	WFS1
IFNAR2	起调控作用	HLA-DRA
NQO1	起调控作用	PMAIP1
ERBB2	起调控作用	LGALS1
IL6ST	起调控作用	TPI1
MPO	起调控作用	CDC25B
ERBB3	起调控作用	TLR4
TNFRSF1A	起调控作用	CXCL2
IL4	起调控作用	CDC20
MAP3K5	起调控作用	ASS1
E2F1	起调控作用	PLIN2
CREB1	起调控作用	LGALS1
ABL1	起调控作用	PCNA
VIM	起调控作用	MIF
VKORC1	起调控作用	GDF15
CXCL1	起调控作用	NME1
GALE	起调控作用	CYCS
SCNN1A	起调控作用	IKBKB
NPY1R	起调控作用	PLIN2
WFS1	起调控作用	CPSF7
BRAF	起调控作用	SRC
SMAD3	起调控作用	SERPINA3
PLAT	起调控作用	TFF1
SIRT2	起调控作用	TFPI2
FASLG	起调控作用	RPSA
JUN	起调控作用	MYC
NR3C1	起调控作用	TBXA2R
NR3C1	起调控作用	CDC20
AKR1B1	起调控作用	PIK3CA
ALDH7A1	起调控作用	CASP3
CBS	起调控作用	ST3GAL5
EIF4EBP1	起调控作用	PCNA
GCK	起调控作用	CDK4
RPS6	起调控作用	RPS19
ANXA5	起调控作用	PTPN1
GNAI1	起调控作用	ERBB3
LIG1	起调控作用	NFKBIA
PRKACA	起调控作用	TUBB3
SLC25A15	起调控作用	GRN
BAZ1B	起调控作用	BIRC5
ANXA5	起调控作用	CDC20
BRCA1	起调控作用	ITGB1
RAF1	起调控作用	PIM2
UBB	起调控作用	DLD
PIK3CD	起调控作用	LPL
EIF2AK2	起调控作用	PNP
THBD	起调控作用	PRKCQ
PTGS2	起调控作用	G6PD
GYG1	起调控作用	HSPB1
RPS19	起调控作用	CDCP1
HNMT	起调控作用	SELL
HADH	起调控作用	ASS1
DTNA	起调控作用	TUBG1
BBC3	起调控作用	TYMS
SCNN1A	起调控作用	HLA-DRA
KCNN4	起调控作用	LPL
VIM	起调控作用	TBXA2R
SPP1	起调控作用	KIT
HOXA9	起调控作用	EIF4EBP1
MITF	起调控作用	IL1B
SDHA	起调控作用	AKT1
MAX	起调控作用	SELL
STAT3	起调控作用	ACLY
APOE	起调控作用	CA12
APP	起调控作用	TLR4
GABBR1	起调控作用	GJA1
SOD1	起调控作用	HBB
PLOD1	起调控作用	CES1
PLK2	起调控作用	LGALS1
CDC25A	起调控作用	PTK2B
MAPK8	起调控作用	CES1
CDC25A	起调控作用	CDC25B
ANO1	起调控作用	PROS1
BBC3	起调控作用	PCCB
FXYD2	起调控作用	CES1
HNF4A	起调控作用	LGALS1
ERBB3	起调控作用	PARP1
ALDH2	起调控作用	TUBA1A
NR3C1	起调控作用	CDKN3
SPDEF	起调控作用	HADH
BCL2A1	起调控作用	AKT1
AHR	起调控作用	ICAM1
PDX1	起调控作用	RHOA
CD19	起调控作用	JMJD1C
AOC3	起调控作用	RPIA
GADD45A	起调控作用	IL1B
SDHD	起调控作用	CES1
SULT1A1	起调控作用	LPL
ACACA	起调控作用	SELL
HDAC6	起调控作用	SLC25A4
SPDEF	起调控作用	HMGCL
ESR1	起调控作用	PCBD1
RAF1	起调控作用	WIPF1
ARG1	起调控作用	HMOX1
FABP6	起调控作用	ABL1
CALR	起调控作用	CDKN3
CES1	起调控作用	TXNRD1
AKR1C3	起调控作用	PCNA
RXRA	起调控作用	KCNQ1
GABBR1	起调控作用	COG2
NR4A1	起调控作用	CDCP1
PIM1	起调控作用	PYCR1
JAK2	起调控作用	GJA1
TCF4	起调控作用	APP
HSD17B10	起调控作用	CHEK2
NAGA	起调控作用	TLR4
PSPH	起调控作用	MIF
PIM1	起调控作用	IL1B
FGFR1	起调控作用	MKI67
GPR35	起调控作用	COG2
MITF	起调控作用	DCTN1
NDUFA9	起调控作用	CDKN1A
MAPK8	起调控作用	NME1
WEE1	起调控作用	PCBD1
MEN1	起调控作用	GDF15
XBP1	起调控作用	SLC25A12
TTR	起调控作用	TUFM
HNF4A	起调控作用	SPR
ERBB2	起调控作用	NRAS
JUN	起调控作用	PROS1
CAPN1	起调控作用	PCCB
KEAP1	起调控作用	NKX3-1
TBXA2R	起调控作用	CDK6
CDK7	起调控作用	KRT7
BLVRA	起调控作用	TYMS
ERBB3	起调控作用	AXIN1
PSAP	起调控作用	LGALS1
INSR	起调控作用	CYCS
CAT	起调控作用	CDK6
HMGCL	起调控作用	LPL
HEXB	起调控作用	PTPN1
SIK1	起调控作用	GALE
SLC25A20	起调控作用	SPP1
STXBP2	起调控作用	CYCS
GSK3B	起调控作用	SLC1A4
NDUFS8	起调控作用	CDC20
KCNJ11	起调控作用	CSRP1
FGFR2	起调控作用	PCBD1
DNMT1	起调控作用	AURKB
CHEK2	起调控作用	PTPN1
HSPA5	起调控作用	TYMS
TUBB3	起调控作用	CDC20
PTEN	起调控作用	CTSD
CTSH	起调控作用	ST3GAL5
CBS	起调控作用	MMP1
POLB	起调控作用	MIF
THBD	起调控作用	PFKL
RPS19	起调控作用	NT5E
PNPO	起调控作用	IGF2R
FAS	起调控作用	HSPB1
CFLAR	起调控作用	GJA1
SLC16A1	起调控作用	CDC20
CISH	起调控作用	CDKN3
IL2RB	起调控作用	HPRT1
NRAS	起调控作用	C5
TBXA2R	起调控作用	GDF15
CACNA1C	起调控作用	SLC25A4
ESR2	起调控作用	CDC20
FAS	起调控作用	MMP1
TGFBR2	起调控作用	MIF
RHOA	起调控作用	GNAS
AFG3L2	起调控作用	CCNB1
IFNB1	起调控作用	GJA1
BRAF	起调控作用	PTK2B
L1CAM	起调控作用	HMOX1
LDHA	起调控作用	TUBA1A
PLK2	起调控作用	ANO1
SIRT2	起调控作用	GJA1
IFNGR2	起调控作用	PPARG
TXNRD1	起调控作用	PFN1
CTNNB1	起调控作用	NR1H3
PDX1	起调控作用	ADRB2
MECP2	起调控作用	MYB
PTEN	起调控作用	PPT1
KLF5	起调控作用	CDK2
NQO2	起调控作用	CSRP1
CTSH	起调控作用	SERPINA3
PLK2	起调控作用	GPI
LIG1	起调控作用	PCNA
PGF	起调控作用	CCNA2
C5	起调控作用	SLC1A4
PLK2	起调控作用	CSRP1
NFKBIA	起调控作用	PYCR1
NPTN	起调控作用	PTGS2
NDUFB3	起调控作用	CAPN2
RPIA	起调控作用	FNTA
CPT1A	起调控作用	TXNRD1
PRKCG	起调控作用	CYB5R3
NFKBIA	起调控作用	SPR
IRS1	起调控作用	GNAS
PLAT	起调控作用	TOP2A
ADAM10	起调控作用	GNAS
ITPR2	起调控作用	PCBD1
CD3D	起调控作用	TYMS
TXNRD2	起调控作用	PCNA
KEAP1	起调控作用	HSD17B10
CTPS1	起调控作用	CDC25B
SMARCE1	起调控作用	PSMB8
AKR1C3	起调控作用	CCL20
ALK	起调控作用	FOSB
CD40	起调控作用	NFKB1
NPTN	起调控作用	ST3GAL5
ALAD	起调控作用	HP
PAX8	起调控作用	SDHB
SPP1	起调控作用	CDC20
AOC3	起调控作用	PNP
ALAD	起调控作用	TXNRD1
GSTM1	起调控作用	EIF4EBP1
NRXN1	起调控作用	SERPINE1
HLA-DRA	起调控作用	CASP7
TYMS	起调控作用	PLK1
EP300	起调控作用	COG2
UROD	起调控作用	CCND3
CALR	起调控作用	PAK1
NRAS	起调控作用	PNP
JUNB	起调控作用	CASP2
HSF1	起调控作用	BRCA1
HDAC1	起调控作用	PIM1
HLA-DPB1	起调控作用	ACLY
PTEN	起调控作用	TFF1
AKT1	起调控作用	IGFBP2
ACADS	起调控作用	MIF
KAT5	起调控作用	GNAS
ABCC3	起调控作用	IMPA1
GAA	起调控作用	PHGDH
PLK2	起调控作用	GNAI1
KCNA3	起调控作用	NFKBIA
FAH	起调控作用	JUN
NRP1	起调控作用	NT5E
EGR1	起调控作用	KIT
GGT1	起调控作用	MYC
RAF1	起调控作用	PCNA
AKR1C1	起调控作用	G6PD
KEAP1	起调控作用	GDF15
RHOA	起调控作用	PLA2G6
LGALS1	起调控作用	PCNA
SLC1A5	起调控作用	OXCT1
MTRR	起调控作用	CAST
PIK3R1	起调控作用	HSPD1
IDH2	起调控作用	ST3GAL5
NPTN	起调控作用	CES1
CHEK2	起调控作用	HLA-DRA
IGF2R	起调控作用	KRT14
NFE2L2	起调控作用	FOSL1
KLF7	起调控作用	COG2
DLD	起调控作用	RBP4
PDHA1	起调控作用	PTGS2
TGFBR2	起调控作用	ERBB2
CDC37	起调控作用	HSD17B10
NOTCH2	起调控作用	LGALS1
CXCL1	起调控作用	EIF4EBP1
BCL2	起调控作用	NME1
LCK	起调控作用	PTGS2
PLSCR1	起调控作用	B3GAT3
EIF4EBP1	起调控作用	VCL
HSPA5	起调控作用	SLC1A4
CISH	起调控作用	PHGDH
UQCRB	起调控作用	NFKBIA
ST3GAL5	起调控作用	CDKN1A
PNP	起调控作用	SNAP25
IGFBP7	起调控作用	CHEK2
FAH	起调控作用	MKKS
BMP4	起调控作用	C5
IL2	起调控作用	LGALS1
CCNA2	起调控作用	HLA-B
GPI	起调控作用	ELOVL6
CAT	起调控作用	PHGDH
RHOA	起调控作用	PRKCQ
PIM1	起调控作用	PRKCQ
FGFR1	起调控作用	ASNS
CDKN1A	起调控作用	TOP2A
LCK	起调控作用	APEX1
SGK1	起调控作用	NME1
RXRA	起调控作用	SYK
CDKN1B	起调控作用	TYMS
MAPK9	起调控作用	CASP2
NPSR1	起调控作用	TLR4
HFE	起调控作用	TIMP2
PLSCR1	起调控作用	TFF1
SLC1A4	起调控作用	RPIA
PTEN	起调控作用	ARRB1
PTK2	起调控作用	CXCR4
AGT	起调控作用	HSPB1
JUN	起调控作用	CSRP1
CA2	起调控作用	PMAIP1
PIK3C2A	起调控作用	CES1
IKBKB	起调控作用	VIM
AFG3L2	起调控作用	CXCL2
CSRP1	起调控作用	MIF
CISH	起调控作用	DNMT1
P4HB	起调控作用	NME1
BIRC5	起调控作用	PBK
NFKB1	起调控作用	SELL
JUNB	起调控作用	PSMB8
MAP3K5	起调控作用	HPRT1
KEAP1	起调控作用	KLF10
PDPK1	起调控作用	FTL
SOD1	起调控作用	PCNA
TGFBR1	起调控作用	MYC
RPS6KB1	起调控作用	MYB
MAT1A	起调控作用	NOS3
LMNA	起调控作用	PLA2G4A
UGT1A1	起调控作用	CCND3
MAP2K5	起调控作用	KIT
SOX10	起调控作用	GNAI1
CHEK2	起调控作用	CYCS
CAMKK2	起调控作用	PLK1
PGF	起调控作用	CCND3
BIK	起调控作用	TXNRD1
IGFBP2	起调控作用	NOS3
FLT4	起调控作用	SERPINA3
FOSL1	起调控作用	VIM
ABAT	起调控作用	BIRC5
GNAI1	起调控作用	CSRP1
NSDHL	起调控作用	MVK
ZNF595	起调控作用	FN1
PIK3CG	起调控作用	NR1H2
HADH	起调控作用	PAK1
NDUFS8	起调控作用	TOP2A
TXNRD1	起调控作用	ME1
KRT19	起调控作用	GLB1
NRIP1	起调控作用	VIM
GSK3B	起调控作用	PRKCB
WT1	起调控作用	GDF15
CREB1	起调控作用	CEACAM5
KAT5	起调控作用	PCNA
MAP2K5	起调控作用	KRT19
EIF6	起调控作用	PRKACA
ADA	起调控作用	MIF
RARB	起调控作用	CAPN1
ELOVL6	起调控作用	NOS3
NFE2L2	起调控作用	NDUFS3
HSF1	起调控作用	COG2
PRKCA	起调控作用	KEAP1
HSPA5	起调控作用	ASNS
RPS27A	起调控作用	MARK3
PDPK1	起调控作用	NME1
SMAD4	起调控作用	PPP2R2A
PRKACA	起调控作用	SEC24C
FAS	起调控作用	MIF
RPIA	起调控作用	PCNA
HLA-DRA	起调控作用	GDF15
BLVRA	起调控作用	BIK
FGFR2	起调控作用	CES1
MAPK3	起调控作用	GJA1
GSS	起调控作用	SDHB
DNMT1	起调控作用	EGR1
ICAM1	起调控作用	TBXA2R
ESRRA	起调控作用	SPR
SMAD2	起调控作用	CSRP1
PTK2	起调控作用	GDF15
NFKB2	起调控作用	HSD17B10
BAK1	起调控作用	ADAM10
ABL1	起调控作用	TIMP1
ESR1	起调控作用	HSD17B10
RET	起调控作用	HP
DYRK1A	起调控作用	LGALS1
PARP1	起调控作用	DLD
ANG	起调控作用	ST3GAL5
EP300	起调控作用	CDC20
G6PD	起调控作用	TUBA4A
ATP2A2	起调控作用	PCBD1
GLI3	起调控作用	NME1
LGALS1	起调控作用	C3
XBP1	起调控作用	CFLAR
HDAC6	起调控作用	VDAC1
SDHA	起调控作用	MIF
PDPK1	起调控作用	PRDX4
GSTM2	起调控作用	GJA1
NR3C1	起调控作用	PRKCQ
PTEN	起调控作用	RGS2
SMAD7	起调控作用	HLA-DRA
DTNA	起调控作用	TBXA2R
ATM	起调控作用	NME1
SOD1	起调控作用	GLI2
CTSD	起调控作用	CDC20
KCNA2	起调控作用	CDC20
NR1H2	起调控作用	GDF15
SIN3A	起调控作用	IGFBP7
NQO2	起调控作用	SPR
PRKAR1A	起调控作用	PRKCQ
INSR	起调控作用	MIF
CDC25A	起调控作用	PRKCQ
ACLY	起调控作用	HLA-DRA
GSTM1	起调控作用	MIF
CHEK2	起调控作用	PFN1
ICAM1	起调控作用	ST3GAL5
SERPINF2	起调控作用	WFS1
DAXX	起调控作用	APEX1
PLA2G4A	起调控作用	SERPINA1
KAT5	起调控作用	CES1
IFNB1	起调控作用	EDN1
APOE	起调控作用	DBI
STK39	起调控作用	CSRP1
EGFR	起调控作用	PFN1
NPTN	起调控作用	RBP4
ACADS	起调控作用	ADM
CDC25A	起调控作用	TOP2A
RGS2	起调控作用	TOP2A
C1QA	起调控作用	CES1
F2R	起调控作用	PARP1
PTK2	起调控作用	TPI1
ABL1	起调控作用	TF
EP300	起调控作用	GJA1
FAS	起调控作用	ASS1
ASL	起调控作用	NME1
PDPK1	起调控作用	PCBD1
DAXX	起调控作用	CD44
GLDC	起调控作用	SPP1
CDH11	起调控作用	HSPD1
LHX3	起调控作用	SPR
MAP2K7	起调控作用	PNP
CHEK2	起调控作用	IGF1R
PGK1	起调控作用	CES1
HSF1	起调控作用	SDHB
CDK4	起调控作用	TYMS
EHHADH	起调控作用	TPM1
DTNA	起调控作用	HLA-DRA
DPYD	起调控作用	GRN
MMP2	起调控作用	DLD
NR1H2	起调控作用	ICAM1
BID	起调控作用	MMP1
KEAP1	起调控作用	GJA1
GABRA1	起调控作用	PNP
MAT1A	起调控作用	TYMS
SMS	起调控作用	PSMB8
SLC7A9	起调控作用	PCNA
RHOA	起调控作用	EIF2S1
RFXANK	起调控作用	PHGDH
PRKCD	起调控作用	MIF
KIT	起调控作用	CEBPB
AGT	起调控作用	OXCT1
PTK2B	起调控作用	EIF6
ITPR1	起调控作用	PPARD
AOC3	起调控作用	TOP2A
SNCA	起调控作用	VIM
TEK	起调控作用	SERPINA3
RARA	起调控作用	SLC1A3
NRP1	起调控作用	ST3GAL5
ERBB2	起调控作用	SOD2
AKR1B1	起调控作用	CCL2
RPS19	起调控作用	FAS
CDKN1A	起调控作用	MKI67
HSPA5	起调控作用	PYGL
KEAP1	起调控作用	SMPD1
PLAT	起调控作用	NFKB2
NRAS	起调控作用	ALAS1
BIRC5	起调控作用	TFF1
ERBB4	起调控作用	GDF15
UNG	起调控作用	TLR4
AKR1C2	起调控作用	GNAI1
ADRA2A	起调控作用	MYB
KCNQ1	起调控作用	CDC20
MAPK10	起调控作用	RHOA
KCNK2	起调控作用	EIF4EBP1
AURKB	起调控作用	RPIA
CENPE	起调控作用	HMOX1
AKR1C2	起调控作用	YBX3
PSPH	起调控作用	IL1B
E2F1	起调控作用	PFKL
ACSL4	起调控作用	CDC20
CDC42	起调控作用	IER5
PRNP	起调控作用	SLC9A1
SUCLG1	起调控作用	LAMA3
HSD17B10	起调控作用	NTRK2
CDK6	起调控作用	CSRP1
FOS	起调控作用	PTGS2
ITGB2	起调控作用	VEGFA
VIPR1	起调控作用	NDUFA9
AGT	起调控作用	LPL
MAPK8	起调控作用	CEBPB
GPR35	起调控作用	NR1H2
PCSK9	起调控作用	MAPK9
BLVRA	起调控作用	CES1
ANXA5	起调控作用	SPR
GAPDH	起调控作用	CEBPB
SPP1	起调控作用	PRKCZ
IRF4	起调控作用	GHR
NR4A1	起调控作用	GAA
ADAM17	起调控作用	TPI1
BLVRA	起调控作用	CXCL2
SERPINA6	起调控作用	RBP4
MITF	起调控作用	CTNS
CDK2	起调控作用	CDK6
PHYH	起调控作用	CDC20
GSTP1	起调控作用	CDK7
PTK2	起调控作用	SDHB
MAP3K5	起调控作用	VEGFA
HLA-DRB1	起调控作用	CDKN1A
ARG1	起调控作用	PCNA
EHHADH	起调控作用	ADRB2
JUNB	起调控作用	MYC
AKR1B1	起调控作用	NME1
MAP3K5	起调控作用	PLK1
ADAM17	起调控作用	MIF
CTDSP1	起调控作用	CSRP1
NT5E	起调控作用	FGFR3
ARG1	起调控作用	XBP1
HMGCL	起调控作用	CDC20
PTK2	起调控作用	TOP2A
RFX5	起调控作用	SERPINA3
PTK2	起调控作用	IKBKB
RPIA	起调控作用	FABP5
HSD17B10	起调控作用	GJA1
SOX3	起调控作用	CAPN2
SMAD4	起调控作用	CEBPB
AKT2	起调控作用	CDC20
CFTR	起调控作用	CDC25B
RET	起调控作用	GNAI1
EIF4EBP1	起调控作用	STK39
IL2RA	起调控作用	CEBPB
GAA	起调控作用	HP
RFXANK	起调控作用	CDKN1A
NRAS	起调控作用	COG2
MAX	起调控作用	COG2
AKR1C2	起调控作用	SERPINA3
SMAD7	起调控作用	FABP5
KYNU	起调控作用	CEBPB
BLVRA	起调控作用	CAPN1
AKT1	起调控作用	DAXX
TXNRD1	起调控作用	PRKCQ
IKBKB	起调控作用	TPI1
HEY1	起调控作用	IGFBP3
PIM1	起调控作用	KEAP1
AXIN1	起调控作用	LPL
ESR1	起调控作用	CDC25B
CDKN1A	起调控作用	WEE1
IMPA1	起调控作用	CXCL8
CA2	起调控作用	IGF2R
AR	起调控作用	SLC1A4
CDKN1B	起调控作用	PRKCQ
AKR1C3	起调控作用	NDUFS8
FLT4	起调控作用	CDC20
PHGDH	起调控作用	AKR1C3
CAPN1	起调控作用	SIRT1
HSP90AB1	起调控作用	HMOX1
INSR	起调控作用	LGALS1
HSF1	起调控作用	PPOX
CXCL1	起调控作用	CDC20
ITPR1	起调控作用	CTPS1
EP300	起调控作用	WFS1
EGFR	起调控作用	PPARD
ESR1	起调控作用	BTK
NDUFB3	起调控作用	PSMG1
SOAT1	起调控作用	CDKN1A
KIF11	起调控作用	CENPE
IKBKB	起调控作用	PYCR1
SMAD7	起调控作用	DIABLO
GLI3	起调控作用	SMS
XBP1	起调控作用	FOSL1
COMT	起调控作用	TUBA1A
SLC38A2	起调控作用	GDF15
FASLG	起调控作用	TBXA2R
GABBR1	起调控作用	PLK1
E2F1	起调控作用	HSPD1
IL2RB	起调控作用	TFF1
ABCG5	起调控作用	CEBPB
SLC9A1	起调控作用	HDAC6
ASNS	起调控作用	EIF4EBP1
NFKB2	起调控作用	MT2A
ASL	起调控作用	DIABLO
SDHA	起调控作用	FABP5
AURKA	起调控作用	TPI1
BCL2	起调控作用	HEY1
RET	起调控作用	LPL
MAPK13	起调控作用	TUBA1A
CDK6	起调控作用	LAMA3
PDPK1	起调控作用	SNAP25
APOH	起调控作用	PARP1
HPGD	起调控作用	TUBA4A
KEAP1	起调控作用	IGFBP2
CRYZ	起调控作用	RPIA
CES1	起调控作用	MAPK9
AMT	起调控作用	MIF
AKR1C1	起调控作用	CEBPB
TIMP4	起调控作用	CES1
HMGB1	起调控作用	RPIA
VIM	起调控作用	PSMG1
HDAC6	起调控作用	SERPINA3
BTK	起调控作用	WFS1
IFNB1	起调控作用	CDK7
ADK	起调控作用	DLD
IKBKG	起调控作用	BSG
PIP4K2A	起调控作用	CASP2
HDAC6	起调控作用	NME1
RB1	起调控作用	CDK6
GAA	起调控作用	SLC7A5
SH2B3	起调控作用	FKBP4
SDHA	起调控作用	ADAM10
FASLG	起调控作用	DLD
AKT1	起调控作用	TSC22D3
ARF1	起调控作用	GNAS
JUNB	起调控作用	CHEK2
SIN3A	起调控作用	VEGFA
ABAT	起调控作用	HDAC6
LIG1	起调控作用	BIRC5
POLG	起调控作用	VEGFA
SPDEF	起调控作用	RPIA
RXRA	起调控作用	TOP2A
VDAC1	起调控作用	PDGFA
MERTK	起调控作用	BTK
KCNK2	起调控作用	CDK4
MTOR	起调控作用	PNP
NDUFB3	起调控作用	HPRT1
CDKN1A	起调控作用	LIG1
PPARG	起调控作用	GNAI1
POLB	起调控作用	PLK1
FTH1	起调控作用	GDF15
TGFBR2	起调控作用	ADRB2
FTCD	起调控作用	CAST
TGFB1	起调控作用	TYMS
CDK4	起调控作用	PROS1
FAH	起调控作用	SDHB
XRCC4	起调控作用	ASS1
CAPN1	起调控作用	HMOX1
CTBP1	起调控作用	CDKN1A
NOX1	起调控作用	TYMS
ARF1	起调控作用	CES1
ACLY	起调控作用	CISD1
CENPE	起调控作用	SDHB
RARA	起调控作用	TF
MIF	起调控作用	BAD
RAF1	起调控作用	CASP7
ASL	起调控作用	ABCG2
CDKN1A	起调控作用	LPL
KCNK2	起调控作用	TF
PLA2G4A	起调控作用	DLD
CDK4	起调控作用	PLK1
STK39	起调控作用	HSPB1
FECH	起调控作用	GHR
ADAM17	起调控作用	TYMS
TIMP2	起调控作用	LAMB1
TYMS	起调控作用	CDKN1A
PTK2	起调控作用	TBXA2R
BAG3	起调控作用	ABCC3
PPP3CA	起调控作用	PFN1
SHH	起调控作用	RPIA
SERPINC1	起调控作用	BAX
CTSK	起调控作用	SERPINA3
IL2RB	起调控作用	SULT1A1
G6PD	起调控作用	CSRP1
HDAC8	起调控作用	CEBPB
SMAD4	起调控作用	LGALS1
VCP	起调控作用	NME1
CSNK1A1	起调控作用	CDK6
OTUD7A	起调控作用	TUBA4A
UROD	起调控作用	TPM1
SMARCA4	起调控作用	IMPA1
GPR35	起调控作用	SPR
SLC25A4	起调控作用	GADD45A
PIK3C2A	起调控作用	POLR2F
JAK1	起调控作用	DLD
MAPK7	起调控作用	STAT3
RAF1	起调控作用	VIM
NR2F1	起调控作用	PCBD1
PIM2	起调控作用	ADRB2
ARG1	起调控作用	RPIA
CISH	起调控作用	DUSP22
CAPN1	起调控作用	SPHK1
AGT	起调控作用	MIF
NSDHL	起调控作用	IRF5
SPTLC1	起调控作用	FABP5
MDH2	起调控作用	BAD
BLVRA	起调控作用	IL1B
CDK2	起调控作用	PTK2B
SOD1	起调控作用	SNAP25
